FID,MUN_NM_MUN,MUN_CD_MUN,MUN_UF,MUN_POPU_2,MUN_NM_PRE,MUN_SIGLA_,MUN_ISCST,MUN_IFSUTI,MUN_ICS,MUN_ICT_FI,MUN_C_GERA,MUN_EFIC_1,MUN_C_REMA
0,Alta Floresta D Oeste,1100015,RO,14735,Serviço Autônomo de Água e Esgoto,SAAE,96.728704367,1.846814603,1.424481031,0,795,1.108088762,786
1,Ariquemes,1100023,RO,85770,Companhia de Águas e Esgotos de Rondônia,CAERD,89.406076446,8.5762822607,2.01764129369,0,4631,5.145769356,4393
2,Cabixi,1100031,RO,2771,Prefeitura Municipal de Cabixi,PM,98.997400668,0.63126624582,0.37133308578,0,149,0.378759747,149
3,Cacoal,1100049,RO,67665,Serviço Autônomo de Água e Esgoto de Cacoal,SAAE,28.821320715,16.1786792849,0,55,3653,50.957207571,1791
4,Cerejeiras,1100056,RO,15276,Prefeitura Municipal de Cerejeiras,PM,79.637977668,19.6892988418,0.67272348984,0,824,11.813579305,727
5,Colorado do Oeste,1100064,RO,14097,Prefeitura Municipal de Colorado do Oeste,PM,94.933001391,4.0418832833,1.02511532547,0,761,2.42512997,742
6,Corumbiara,1100072,RO,2665,Prefeitura Municipal de Corumbiara,PM,92.200772201,6.48648648649,1.31274131274,0,143,3.891891892,138
7,Costa Marques,1100080,RO,8689,Prefeitura Municipal de Costa Marques,PM,89.582499667,8.52340936375,1.89409096972,0,469,5.114045618,445
8,Espigão D Oeste,1100098,RO,22741,Prefeitura Municipal de Espigão D Oeste,PM,84.963609898,13.8185346919,1.21785541,0,1228,8.291120815,1126
9,Guajará-Mirim,1100106,RO,38676,Companhia de Águas e Esgotos de Rondônia,CAERD,75.530434289,14.4459908541,10.0235748573,0,2088,8.667594512,1907
10,Jaru,1100114,RO,37544,Prefeitura Municipal de Jaru,PM,94.897203713,3.38003303149,1.72276325531,0,2027,2.028019819,1986
11,Ji-Paraná,1100122,RO,115123,Companhia de Águas e Esgotos de Rondônia,CAERD,77.089015621,18.6318640447,4.27912033417,0,6216,11.179118427,5521
12,Machadinho D Oeste,1100130,RO,18509,Prefeitura Municipal de Machadinho D Oeste,PM,96.469424349,2.74531626785,0.78525938292,0,999,1.647189761,983
13,Nova Brasilândia D Oeste,1100148,RO,9035,Prefeitura Municipal de Nova Brasilândia D Oeste,PM,92.040572792,6.00238663484,1.95704057279,0,487,3.601431981,470
14,Ouro Preto do Oeste,1100155,RO,29793,Prefeitura Municipal de Ouro Preto do Oeste,PM,90.443577005,7.5443577005,2.01206529454,0,1608,4.52661462,1535
15,Pimenta Bueno,1100189,RO,32128,Prefeitura Municipal de Pimenta Bueno,PM,60.22028079,30.3158037869,9.46391542305,0,1734,18.189482272,1419
16,Porto Velho,1100205,RO,442218,Companhia de Águas e Esgotos de Rondônia,CAERD,54.698221036,35.0710075678,10.2307713963,0,23879,21.042604541,18854
17,Presidente Médici,1100254,RO,13719,Prefeitura Municipal de Presidente Médici,PM,96.857851612,1.30045854319,1.8416898444,0,740,0.780275126,735
18,Rio Crespo,1100262,RO,1176,Prefeitura Municipal de Rio Crespo,PM,99.530075188,0.46992481203,0,0,63,0.281954887,63
19,Rolim de Moura,1100288,RO,45281,Prefeitura Municipal de Rolim de Moura,PM,81.590190446,16.8312051944,0,1.57860435927,2445,10.098723117,2198
20,Santa Luzia D Oeste,1100296,RO,4526,Prefeitura Municipal de Santa Luzia D Oeste,PM,96.044198895,1.10497237569,2.85082872928,0,244,0.662983425,242
21,Vilhena,1100304,RO,83140,Serviço Autônomo de Água e Esgoto,SAAE,85.754244094,12.2144063807,2.03134952505,0,4489,7.328643828,4160
